PROVINCIA,CANTON,DISTRITO,TIPO DE ENVIO,Ruta,ZONA COMPLEMENTARIA 1,ZONA COMPLEMENTARIA 2,ZONA COMPLEMENTARIA 3,ZONA COMPLEMENTARIA 4,Pago Mensajero
 Alajuela,ALAJUELA,ALAJUELA,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,GARITA,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,GUACIMA,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,SABANILLA,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,SAN ANTONIO,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,SAN ISIDRO,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,SAN JOSE,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,SAN RAFAEL,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,TAMBOR,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,DESAMPARADOS,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
 Alajuela,ALAJUELA,RIO SEGUNDO,CONTRAENTREGA,AL1,HE1,SJ5,SJ4,,2500
Cartago,CARTAGO,AGUACALIENTE O SAN FRANCI,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,CARMEN,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,CORRALILLO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,DULCE NOMBRE,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,GUADALUPE O ARENILLA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,LLANO GRANDE,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,OCCIDENTAL,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,ORIENTAL,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,QUEBRADILLA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,SAN NICOLAS,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,TIERRA BLANCA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,EL GUARCO,EL TEJAR,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,EL GUARCO,PATIO DE AGUA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,EL GUARCO,SAN ISIDRO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,EL GUARCO,TOBOSI,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,CONCEPCION,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,DULCE NOMBRE,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,RIO AZUL,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,SAN DIEGO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,SAN JUAN,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,SAN RAFAEL,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,SAN RAMON,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,LA UNION,TRES RIOS,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,OREAMUNO,CIPRESES,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,OREAMUNO,COT,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,OREAMUNO,POTRERO CERRADO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,OREAMUNO,SAN RAFAEL,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,OREAMUNO,SANTA ROSA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,BIRRISITO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,CACHI,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,LLANOS DE SANTA LUCIA,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,OROSI,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,PARAISO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,PARAISO,SANTIAGO,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Cartago,CARTAGO,,CONTRAENTREGA,CT1,SJ2,SJ1,SJ4,,2500
Heredia,BARVA,BARVA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BARVA,SAN JOSE DE LA MONTANA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BARVA,SAN PABLO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BARVA,SAN PEDRO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BARVA,SAN ROQUE,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BARVA,SANTA LUCIA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BELEN,LA ASUNCION,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BELEN,LA RIBERA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,BELEN,SAN ANTONIO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,FLORES,BARRANTES,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,FLORES,LLORENTE,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,FLORES,SAN JOAQUIN,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,HEREDIA,HEREDIA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,HEREDIA,MERCEDES,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,HEREDIA,SAN FRANCISCO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,HEREDIA,ULLOA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,HEREDIA,VARABLANCA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN ISIDRO,CONCEPCION,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN ISIDRO,SAN FRANCISCO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN ISIDRO,SAN ISIDRO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN ISIDRO,SAN JOSE,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN PABLO,RINCON DE SABANILLA,CONTRAENTREGA,H1,AL1,SJ4,,,2500
Heredia,SAN PABLO,SAN PABLO,CONTRAENTREGA,H1,AL1,SJ4,,,2500
